,Order ID,Grouped
2,176560,"Google Phone,Wired Headphones"
17,176574,"Google Phone,USB-C Charging Cable"
29,176585,"Bose SoundSport Headphones,Bose SoundSport Headphones"
31,176586,"AAA Batteries (4-pack),Google Phone"
118,176672,"Lightning Charging Cable,USB-C Charging Cable"
128,176681,"Apple Airpods Headphones,ThinkPad Laptop"
137,176689,"Bose SoundSport Headphones,AAA Batteries (4-pack)"
188,176739,"34in Ultrawide Monitor,Google Phone"
224,176774,"Lightning Charging Cable,USB-C Charging Cable"
232,176781,"iPhone,Lightning Charging Cable"
249,176797,"Google Phone,Bose SoundSport Headphones,Wired Headphones"
259,176805,"Google Phone,USB-C Charging Cable"
263,176808,"Google Phone,Wired Headphones"
269,176813,"Google Phone,Wired Headphones"
392,176935,"AAA Batteries (4-pack),27in FHD Monitor"
433,176975,"USB-C Charging Cable,AAA Batteries (4-pack)"
448,176989,"Google Phone,USB-C Charging Cable"
453,176993,"iPhone,Wired Headphones"
483,177022,"iPhone,Wired Headphones"
564,177102,"iPhone,27in 4K Gaming Monitor"
578,177115,"iPhone,Lightning Charging Cable"
581,177117,"ThinkPad Laptop,AAA Batteries (4-pack)"
632,177167,"iPhone,Apple Airpods Headphones,AAA Batteries (4-pack)"
645,177178,"iPhone,Lightning Charging Cable"
649,177181,"Wired Headphones,Apple Airpods Headphones"
651,177182,"Macbook Pro Laptop,ThinkPad Laptop"
654,177184,"AA Batteries (4-pack),Flatscreen TV"
669,177198,"Vareebadd Phone,USB-C Charging Cable"
673,177201,"USB-C Charging Cable,Lightning Charging Cable"
686,177213,"iPhone,Lightning Charging Cable"
702,177228,"Google Phone,AA Batteries (4-pack)"
729,177254,"AA Batteries (4-pack),AAA Batteries (4-pack)"
732,177256,"Bose SoundSport Headphones,AA Batteries (4-pack)"
777,177300,"20in Monitor,Apple Airpods Headphones"
845,177367,"Google Phone,USB-C Charging Cable,Bose SoundSport Headphones"
878,177398,"27in FHD Monitor,AAA Batteries (4-pack)"
909,177428,"Vareebadd Phone,USB-C Charging Cable"
923,177441,"iPhone,Lightning Charging Cable"
926,177443,"Apple Airpods Headphones,27in 4K Gaming Monitor"
932,177448,"Google Phone,USB-C Charging Cable"
971,177486,"ThinkPad Laptop,Google Phone"
990,177504,"Google Phone,USB-C Charging Cable"
993,177506,"iPhone,Apple Airpods Headphones"
999,177511,"iPhone,Lightning Charging Cable"
1058,177569,"Wired Headphones,Google Phone"
1068,177578,"Google Phone,USB-C Charging Cable"
1073,177582,"Bose SoundSport Headphones,Wired Headphones"
1084,177592,"iPhone,Lightning Charging Cable"
1131,177638,"Apple Airpods Headphones,Google Phone"
1175,177681,"AAA Batteries (4-pack),Macbook Pro Laptop"
1214,177719,"Google Phone,USB-C Charging Cable"
1254,177758,"USB-C Charging Cable,Lightning Charging Cable"
1266,177769,"iPhone,Lightning Charging Cable"
1276,177778,"iPhone,Apple Airpods Headphones"
1281,177782,"Lightning Charging Cable,27in 4K Gaming Monitor"
1295,177795,"Apple Airpods Headphones,Apple Airpods Headphones"
1301,177800,"Google Phone,USB-C Charging Cable,Wired Headphones"
1318,177815,"Apple Airpods Headphones,Lightning Charging Cable"
1365,177861,"AA Batteries (4-pack),Apple Airpods Headphones"
1379,177874,"iPhone,Apple Airpods Headphones"
1477,177971,"iPhone,Lightning Charging Cable"
1503,177996,"iPhone,Lightning Charging Cable"
1517,178009,"34in Ultrawide Monitor,USB-C Charging Cable"
1538,178029,"iPhone,Apple Airpods Headphones"
1616,178106,"AAA Batteries (4-pack),Wired Headphones"
1629,178118,"iPhone,AAA Batteries (4-pack)"
1647,178135,"Lightning Charging Cable,AA Batteries (4-pack)"
1650,178137,"Lightning Charging Cable,AA Batteries (4-pack)"
1672,178158,"Google Phone,USB-C Charging Cable,Wired Headphones,USB-C Charging Cable"
1679,178162,"iPhone,Lightning Charging Cable"
1686,178168,"AA Batteries (4-pack),Macbook Pro Laptop"
1709,178190,"Vareebadd Phone,Wired Headphones"
1741,178221,"Flatscreen TV,Lightning Charging Cable"
1763,178242,"iPhone,Lightning Charging Cable"
1780,178258,"iPhone,Apple Airpods Headphones"
1803,178280,"iPhone,Lightning Charging Cable"
1814,178290,"Wired Headphones,ThinkPad Laptop"
1929,178404,"Bose SoundSport Headphones,USB-C Charging Cable"
1938,178412,"Vareebadd Phone,Wired Headphones"
1959,178432,"Bose SoundSport Headphones,USB-C Charging Cable"
2051,178523,"USB-C Charging Cable,20in Monitor"
2054,178525,"AAA Batteries (4-pack),AA Batteries (4-pack)"
2057,178527,"AA Batteries (4-pack),Bose SoundSport Headphones"
2103,178572,"USB-C Charging Cable,27in 4K Gaming Monitor"
2281,178749,"iPhone,Lightning Charging Cable"
2314,178781,"Google Phone,Wired Headphones"
2359,178825,"iPhone,Apple Airpods Headphones"
2421,178886,"Google Phone,Wired Headphones"
2490,178954,"Google Phone,USB-C Charging Cable"
2526,178989,"Vareebadd Phone,USB-C Charging Cable"
2528,178990,"Google Phone,USB-C Charging Cable"
2539,179000,"iPhone,Lightning Charging Cable"
2568,179028,"27in 4K Gaming Monitor,Bose SoundSport Headphones"
2598,179057,"Google Phone,USB-C Charging Cable"
2618,179076,"Google Phone,USB-C Charging Cable"
2651,179108,"Lightning Charging Cable,AAA Batteries (4-pack)"
2672,179128,"iPhone,Apple Airpods Headphones"
2707,179162,"Google Phone,USB-C Charging Cable"
2772,179226,"34in Ultrawide Monitor,Macbook Pro Laptop"
2817,179270,"iPhone,Lightning Charging Cable"
2859,179311,"Wired Headphones,USB-C Charging Cable"
2877,179328,"Wired Headphones,AA Batteries (4-pack)"
2890,179340,"Macbook Pro Laptop,Apple Airpods Headphones"
2908,179357,"Google Phone,USB-C Charging Cable"
2929,179377,"USB-C Charging Cable,AA Batteries (4-pack)"
2932,179379,"Google Phone,Bose SoundSport Headphones"
2988,179434,"Macbook Pro Laptop,20in Monitor"
3008,179453,"iPhone,Wired Headphones"
3041,179485,"Vareebadd Phone,USB-C Charging Cable"
3071,179514,"Google Phone,USB-C Charging Cable"
3088,179530,"Google Phone,USB-C Charging Cable"
3097,179538,"Vareebadd Phone,Bose SoundSport Headphones"
3100,179540,"iPhone,Lightning Charging Cable"
3105,179544,"Wired Headphones,Flatscreen TV"
3215,179653,"AA Batteries (4-pack),Flatscreen TV"
3308,179745,"Google Phone,USB-C Charging Cable"
3372,179808,"USB-C Charging Cable,27in FHD Monitor"
3385,179820,"Google Phone,USB-C Charging Cable"
3401,179835,"Google Phone,Wired Headphones"
3404,179837,"Google Phone,USB-C Charging Cable"
3453,179885,"20in Monitor,Bose SoundSport Headphones"
3513,179944,"Flatscreen TV,AA Batteries (4-pack)"
3536,179966,"iPhone,Lightning Charging Cable"
3540,179969,"Google Phone,Wired Headphones"
3570,179998,"iPhone,Apple Airpods Headphones"
3573,180000,"iPhone,Lightning Charging Cable"
3605,180031,"Vareebadd Phone,USB-C Charging Cable"
3683,180108,"Bose SoundSport Headphones,AA Batteries (4-pack)"
3711,180135,"Google Phone,Wired Headphones"
3738,180161,"USB-C Charging Cable,ThinkPad Laptop"
3785,180207,"Apple Airpods Headphones,Apple Airpods Headphones"
3792,180213,"27in FHD Monitor,AAA Batteries (4-pack)"
3807,180227,"USB-C Charging Cable,Bose SoundSport Headphones"
3818,180237,"iPhone,AAA Batteries (4-pack)"
3904,180322,"USB-C Charging Cable,iPhone"
3916,180333,"AA Batteries (4-pack),Wired Headphones"
3937,180353,"27in FHD Monitor,AA Batteries (4-pack)"
3950,180365,"Lightning Charging Cable,Google Phone"
3956,180370,"Google Phone,USB-C Charging Cable"
3969,180382,"AA Batteries (4-pack),AAA Batteries (4-pack)"
3985,180397,"AA Batteries (4-pack),Apple Airpods Headphones"
3988,180399,"iPhone,Lightning Charging Cable"
3996,180406,"Bose SoundSport Headphones,Lightning Charging Cable"
4013,180422,"Google Phone,USB-C Charging Cable"
4048,180456,"iPhone,Apple Airpods Headphones"
4060,180467,"Apple Airpods Headphones,USB-C Charging Cable"
4108,180514,"Wired Headphones,iPhone"
4110,180515,"27in 4K Gaming Monitor,Apple Airpods Headphones"
4119,180523,"iPhone,Lightning Charging Cable"
4129,180532,"iPhone,Lightning Charging Cable"
4156,180558,"27in 4K Gaming Monitor,Vareebadd Phone"
4175,180576,"Lightning Charging Cable,Lightning Charging Cable"
4227,180627,"iPhone,Lightning Charging Cable"
4232,180631,"AA Batteries (4-pack),Lightning Charging Cable"
4253,180651,"Wired Headphones,AA Batteries (4-pack)"
4255,180652,"Google Phone,USB-C Charging Cable"
4275,180671,"Wired Headphones,Apple Airpods Headphones"
4281,180676,"Apple Airpods Headphones,27in FHD Monitor"
4329,180723,"Google Phone,USB-C Charging Cable,Bose SoundSport Headphones"
4354,180746,"AAA Batteries (4-pack),AAA Batteries (4-pack)"
4406,180797,"AAA Batteries (4-pack),27in 4K Gaming Monitor"
4424,180814,"Vareebadd Phone,USB-C Charging Cable"
4428,180817,"Lightning Charging Cable,Lightning Charging Cable"
4442,180830,"Apple Airpods Headphones,AAA Batteries (4-pack)"
4470,180857,"Bose SoundSport Headphones,AA Batteries (4-pack)"
4488,180874,"Google Phone,Bose SoundSport Headphones"
4499,180884,"iPhone,Lightning Charging Cable,Wired Headphones"
4524,180907,"iPhone,Wired Headphones"
4529,180911,"iPhone,Wired Headphones"
4534,180915,"iPhone,Lightning Charging Cable"
4599,180979,"Lightning Charging Cable,LG Dryer"
4630,181009,"Apple Airpods Headphones,Bose SoundSport Headphones"
4644,181022,"Google Phone,USB-C Charging Cable"
4650,181027,"iPhone,Lightning Charging Cable"
4687,181063,"AAA Batteries (4-pack),Google Phone"
4694,181069,"Macbook Pro Laptop,34in Ultrawide Monitor"
4710,181084,"Flatscreen TV,Flatscreen TV"
4723,181096,"AA Batteries (4-pack),USB-C Charging Cable"
4753,181125,"20in Monitor,Bose SoundSport Headphones"
4760,181131,"AAA Batteries (4-pack),USB-C Charging Cable"
4807,181177,"iPhone,Lightning Charging Cable,Vareebadd Phone"
4812,181180,"Vareebadd Phone,USB-C Charging Cable"
4844,181211,"Vareebadd Phone,Wired Headphones"
4854,181220,"27in 4K Gaming Monitor,Apple Airpods Headphones"
4881,181246,"Wired Headphones,Wired Headphones"
4893,181257,"iPhone,Wired Headphones"
4899,181262,"AAA Batteries (4-pack),Google Phone"
4904,181266,"iPhone,Wired Headphones"
4954,181315,"Google Phone,USB-C Charging Cable"
4967,181327,"27in FHD Monitor,AAA Batteries (4-pack)"
4969,181328,"AAA Batteries (4-pack),USB-C Charging Cable"
5012,181370,"iPhone,USB-C Charging Cable"
5035,181392,"Vareebadd Phone,USB-C Charging Cable"
5046,181402,"AA Batteries (4-pack),AAA Batteries (4-pack)"
5057,181412,"Vareebadd Phone,USB-C Charging Cable"
5065,181419,"Apple Airpods Headphones,34in Ultrawide Monitor"
5082,181435,"AAA Batteries (4-pack),AA Batteries (4-pack)"
5124,181476,"Vareebadd Phone,Wired Headphones"
5164,181515,"Google Phone,Wired Headphones"
5207,181557,"Google Phone,USB-C Charging Cable"
5311,181660,"AAA Batteries (4-pack),Bose SoundSport Headphones"
5349,181697,"Google Phone,USB-C Charging Cable"
5460,181807,"iPhone,Lightning Charging Cable"
5473,181819,"Vareebadd Phone,Wired Headphones"
5478,181823,"Bose SoundSport Headphones,AAA Batteries (4-pack)"
5499,181843,"iPhone,Apple Airpods Headphones"
5519,181862,"iPhone,Apple Airpods Headphones"
5562,181904,"iPhone,Lightning Charging Cable"
5576,181917,"Google Phone,USB-C Charging Cable"
5596,181936,"iPhone,Lightning Charging Cable"
5602,181941,"Wired Headphones,Lightning Charging Cable"
5641,181979,"Vareebadd Phone,USB-C Charging Cable"
5662,181999,"Apple Airpods Headphones,Wired Headphones"
5688,182024,"Google Phone,Bose SoundSport Headphones"
5692,182027,"AA Batteries (4-pack),Apple Airpods Headphones"
5709,182043,"34in Ultrawide Monitor,Wired Headphones"
5727,182060,"iPhone,Lightning Charging Cable"
5745,182077,"AAA Batteries (4-pack),AAA Batteries (4-pack)"
5756,182087,"AAA Batteries (4-pack),27in FHD Monitor"
5763,182093,"Bose SoundSport Headphones,AAA Batteries (4-pack)"
5770,182099,"Google Phone,USB-C Charging Cable"
5772,182100,"Lightning Charging Cable,AAA Batteries (4-pack)"
5798,182125,"iPhone,Lightning Charging Cable"
5810,182136,"20in Monitor,Lightning Charging Cable"
5822,182147,"Vareebadd Phone,USB-C Charging Cable"
5834,182158,"Bose SoundSport Headphones,ThinkPad Laptop"
5845,182168,"AA Batteries (4-pack),Apple Airpods Headphones"
5854,182176,"USB-C Charging Cable,AA Batteries (4-pack)"
5894,182215,"27in FHD Monitor,Bose SoundSport Headphones"
5920,182240,"iPhone,Lightning Charging Cable"
6055,182374,"iPhone,Apple Airpods Headphones"
6067,182385,"AA Batteries (4-pack),Apple Airpods Headphones"
6069,182386,"AA Batteries (4-pack),USB-C Charging Cable"
6104,182420,"iPhone,Apple Airpods Headphones"
6113,182428,"Google Phone,USB-C Charging Cable"
6129,182443,"iPhone,Lightning Charging Cable"
6188,182501,"Google Phone,USB-C Charging Cable"
6211,182523,"iPhone,Lightning Charging Cable,Lightning Charging Cable"
6220,182530,"iPhone,Lightning Charging Cable"
6259,182568,"iPhone,Apple Airpods Headphones"
6335,182643,"iPhone,Wired Headphones"
6361,182668,"Apple Airpods Headphones,AAA Batteries (4-pack)"
6386,182692,"AA Batteries (4-pack),Lightning Charging Cable"
6402,182707,"AA Batteries (4-pack),Apple Airpods Headphones"
6409,182713,"20in Monitor,Macbook Pro Laptop"
6418,182721,"iPhone,Lightning Charging Cable"
6429,182731,"iPhone,Wired Headphones"
